id_chantier,adresse,code_postal,latitude,longitude
2167,80 boulevard de Port Royal,75005,48.838905248228336,2.3404214891435378
1449,24 boulevard Saint-Michel,75006,48.850982715599415,2.3427475119794576
1091,39 boulevard de Sébastopol,75001,48.86112242520876,2.3494390313437865
481,26 rue des Fossés-Saint-Jacques,75005,48.844939785077074,2.3448540644151223
1867,6 boulevard du Palais,75001,48.85503992258911,2.3453463681559823
2140,73 boulevard Saint-Michel,75005,48.84609223499897,2.3403873784340954
1234,58 rue des Ecoles,75005,48.85009250444413,2.343528796090915
1857,6 rue d'Arcole,75004,48.85436833391235,2.349577069931728
599,81 rue de la Verrerie,75004,48.85849232403225,2.351385647182461
1199,60 boulevard Saint-Michel,75006,48.84563240338365,2.3396721542698793
1430,2 place Sainte-Geneviève,75005,48.84684970344236,2.347510276228914
1997,4 avenue de la Porte de Sèvres,75015,48.83577856203351,2.277865777856868
52,1 place du Panthéon,75005,48.84536428709507,2.34663081359216
688,22 rue du Cloitre Notre-Dame,75004,48.85358334029348,2.349454303973582
1138,4 rue Rataud,75005,48.84198510445766,2.3457240779153046
93,198 rue Saint-Jacques,75005,48.84597935432502,2.342754894043137
437,95 boulevard Saint-Michel,75005,48.844566608437695,2.3395487968875535
1341,14 avenue Saint-Mandé,75012,48.844462686658034,2.3978441892614475
1868,4 boulevard du Palais,75001,48.85529411219744,2.3456153724672935
1977,84 boulevard de la Tour-Maubourg,75007,48.85559590381186,2.3095363883383984
1251,19 rue Charlot,75003,48.86184761644807,2.361285301071236
466,11 impasse Chartière,75005,48.84816798043401,2.346109446209119
1596,25 avenue des Gobelins,75013,48.83661551175521,2.352297499722319
293,47 boulevard Saint-Germain,75005,48.84968817928143,2.3495273378359567
699,11 rue Lagrange,75005,48.85122822754509,2.348203486282811
1186,41X avenue du Mahatma Gandhi,75016,48.876410275085036,2.2638579496252187
468,1 parvis Notre-Dame Place Jean-Paul II,75004,48.853928423556894,2.348347167827395
1355,116 avenue d'Italie,75013,48.82406684039109,2.3576332342574493
1735,6 rue des Blancs Manteaux,75004,48.85859389599363,2.3579127307300505
1919,1 place Baudoyer,75004,48.85622539393377,2.3551079425587322
2098,26 rue Soufflot,75005,48.84738428150855,2.34135516060748
1909,23 rue Clovis,75005,48.84635814233922,2.347383666411878
1776,28 bis rue du Cardinal Lemoine,75005,48.8478913743938,2.3529479805759275
1839,15 rue de la Bûcherie,75005,48.85181051497355,2.3484758779143378
2001,111 boulevard de Port-Royal,75014,48.83847044113589,2.340265063141539
1153,220 rue Saint-Jacques,75005,48.844916651811765,2.342179000762282
191,87 boulevard Saint-Germain,75006,48.851838366063035,2.33966090215022
1412,22 rue Monsieur le Prince,75006,48.849796083817175,2.339966541752095
1433,104 boulevard Saint-Germain,75006,48.85166324171781,2.3426789650603554
1901,128 rue de rivoli,75001,48.85976564678737,2.3447207780206267
1462,6 rue Toullier,75005,48.847276458594834,2.342943578896714
1539,63 rue Monge,75005,48.84415178150915,2.352505547555479
1698,88 boulevard Saint-Marcel,75005,48.83718385557517,2.3524366253890086
696,1 rue de la Harpe,75005,48.85307711732909,2.344695495528988
787,1 place Baudoyer,75004,48.85622539393377,2.3551079425587322
1453,51 boulevard Saint-Michel,75005,48.848381212736896,2.341713124226612
1352,82 avenue de Choisy,75013,48.82440058628996,2.361493340012155
1962,91 boulevard Saint-Germain,75006,48.85196224591731,2.3395049393477882
353,39 rue Daubenton,75005,48.84018583316624,2.3505426871387884
660,6 place Paul Painlevé,75005,48.85033224301176,2.343933230067444
2202,56 rue Saint-Jacques,75005,48.84751223285376,2.3435756628521567
2135,4 rue Payenne,75003,48.857559182164216,2.3620806827846454
40,1 place de la Concorde,75008,48.86405438022417,2.31970832000869
525,49 rue de Réaumur,75003,48.866035349605866,2.352968779491196
2160,3 rue d'Ulm,75005,48.84517792119111,2.345738812892123
235,1 boulevard des Filles-du-Calvaire,75003,48.8611160856307,2.3669549519871595
461,282 rue Saint-Jacques,75005,48.84162814383892,2.3410700450562567
2228,17 rue du Temple,75004,48.85855739385099,2.3532886373285176
1773,22 rue du Cloitre Notre-Dame,75004,48.85358334029348,2.349454303973582
152,1 square Boucicaut,75015,48.842496209639506,2.286116128896467
1990,100 Boulevard de l'Hôpital,75013,48.83629669748312,2.3587427108731895
1515,76 rue de Rennes,75006,48.85127861891459,2.330647917585937
1925,5 rue François Miron,75004,48.85585975587191,2.3565350476639098
2008,23 avenue Marigny,75008,48.87067668386037,2.315664675974669
1248,60 quai des Tuileries,75001,48.8637352124527,2.322564126282236
301,33 rue de la Verrerie,75004,48.857538448910105,2.3539747075062727
